model_key,Model,Group,Fit seconds,Val ROC-AUC,Val PR-AUC,Val F1 @0.50,Val Recall @0.50,Best F1,Best F1 threshold,Best F2,Best F2 threshold
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,4.264833499997621,0.8026134665458986,0.34921432913651135,0.31866723622383597,0.6869244935543278,0.3985828166519043,0.7020000000000001,0.47645429362880887,0.544
random_forest,Random Forest benchmark,Bagging,6.218786600002204,0.8218780918744706,0.4187475022831927,0.4166666666666667,0.3683241252302026,0.4392614188532556,0.47200000000000003,0.5110419026047565,0.29868616357278077
lightgbm,LightGBM benchmark,Boosting,1.680612000011024,0.841378265961953,0.4901868452797195,0.4406548431105048,0.5948434622467772,0.48549946294307195,0.706,0.5352834740651388,0.43678360417624784
