model_key,Model,Group,Threshold policy,threshold,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,default_0_50,0.5,0.749056010069226,0.20745272525027808,0.6869244935543278,0.31866723622383597,0.46977329974811083,0.8026134665458986,0.34921432913651135,4388.0,1425.0,170.0,373.0
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,best_f1,0.7020000000000001,0.8931718061674009,0.3839590443686007,0.4143646408839779,0.3985828166519043,0.4079042784626541,0.8026134665458986,0.34921432913651135,5452.0,361.0,318.0,225.0
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,best_f2,0.544,0.7965701699181875,0.23922114047287898,0.6335174953959485,0.34729934376577487,0.47645429362880887,0.8026134665458986,0.34921432913651135,4719.0,1094.0,199.0,344.0
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,recall_at_least_0_65,0.526,0.7775330396475771,0.2238427393785669,0.6500920810313076,0.3330188679245283,0.470792211256335,0.8026134665458986,0.34921432913651135,4589.0,1224.0,190.0,353.0
logistic_l2_balanced,Logistic Regression + L2 + balanced,Linear baseline,recall_at_least_0_8,0.4291559526224989,0.6494650723725613,0.17025440313111545,0.8011049723756906,0.28082633957391867,0.4601226993865031,0.8026134665458986,0.34921432913651135,3693.0,2120.0,108.0,435.0
random_forest,Random Forest benchmark,Bagging,default_0_50,0.5,0.9118942731277533,0.47961630695443647,0.3683241252302026,0.4166666666666667,0.3862495171881035,0.8218780918744706,0.4187475022831927,5596.0,217.0,343.0,200.0
random_forest,Random Forest benchmark,Bagging,best_f1,0.47200000000000003,0.9092196349905601,0.46502057613168724,0.4162062615101289,0.4392614188532556,0.4251316779533484,0.8218780918744706,0.4187475022831927,5553.0,260.0,317.0,226.0
random_forest,Random Forest benchmark,Bagging,best_f2,0.29868616357278077,0.8141913152926369,0.26544117647058824,0.6648250460405156,0.37940094587493434,0.5110419026047565,0.8218780918744706,0.4187475022831927,4814.0,999.0,182.0,361.0
random_forest,Random Forest benchmark,Bagging,recall_at_least_0_65,0.30230113905853734,0.8182819383259912,0.26853252647503784,0.6537753222836096,0.3806970509383378,0.5080137378362908,0.8218780918744706,0.4187475022831927,4846.0,967.0,188.0,355.0
random_forest,Random Forest benchmark,Bagging,recall_at_least_0_8,0.20152086657460072,0.6574889867841409,0.1737220447284345,0.8011049723756906,0.2855267476206104,0.4651411462788708,0.8218780918744706,0.4187475022831927,3744.0,2069.0,108.0,435.0
lightgbm,LightGBM benchmark,Boosting,default_0_50,0.5,0.8709880427942102,0.34994582881906827,0.5948434622467772,0.4406548431105048,0.5218093699515347,0.841378265961953,0.4901868452797195,5213.0,600.0,220.0,323.0
lightgbm,LightGBM benchmark,Boosting,best_f1,0.706,0.9246381371932033,0.5824742268041238,0.4162062615101289,0.48549946294307195,0.44140625,0.841378265961953,0.4901868452797195,5651.0,162.0,317.0,226.0
lightgbm,LightGBM benchmark,Boosting,best_f2,0.43678360417624784,0.8462869729389553,0.3103146853146853,0.6537753222836096,0.4208654416123296,0.5352834740651388,0.841378265961953,0.4901868452797195,5024.0,789.0,188.0,355.0
lightgbm,LightGBM benchmark,Boosting,recall_at_least_0_65,0.43876799865916244,0.8475456261799874,0.3118374558303887,0.6500920810313076,0.42149253731343284,0.5342009685230025,0.841378265961953,0.4901868452797195,5034.0,779.0,190.0,353.0
lightgbm,LightGBM benchmark,Boosting,recall_at_least_0_8,0.271577348424741,0.7073631214600378,0.19890260631001372,0.8011049723756906,0.31868131868131866,0.4989676531314522,0.841378265961953,0.4901868452797195,4061.0,1752.0,108.0,435.0
